x,y,time,hab0,hab1,hab2,hab3,hab4,hab5,strDist
97,211,596.00556,0,0,0,0,0,0,-0.94977745
94,210,596.52222,0,0,0,0,0,0,-1.083553392
93,213,597.04306,0,0,0,0,0,0,-1.01070381
93,214,597.53861,0,0,0,0,0,0,-0.977685654
92,214,598.03,0,0,0,0,0,0,-1.030750547
92,217,598.51861,0,0,0,0,0,0,-0.940081643
91,216,599.01083,0,0,0,0,0,0,-1.032977962
89,217,599.52833,0,0,0,0,0,0,-1.063506654
85,220,600.51861,0,0,0,0,0,0,-0.957376867
83,220,601.01278,0,0,0,0,0,0,-0.808402092
83,224,601.51861,0,0,0,0,0,0,-1.096917884
80,222,602.00861,0,0,0,0,0,0,-0.97283775
81,219,602.54694,0,0,0,1,0,0,-0.684584007
81,219,614.51861,0,0,0,1,0,0,-0.727166946
76,222,616.51167,0,0,0,0,0,0,-1.0701889
73,225,617.52611,0,0,0,0,0,0,-1.080932903
72,227,618.01139,0,0,0,0,0,0,-1.050797285
71,229,618.50611,0,0,0,0,0,0,-1.091152809
72,231,619.01056,0,0,1,0,0,0,-1.117881792
71,231,619.53111,0,0,1,0,0,0,-1.039922257
71,230,620.00361,0,0,1,0,0,0,-1.052238554
68,231,620.51722,0,0,1,0,0,0,-1.046866552
65,231,621.00694,0,0,1,0,0,0,-0.805781603
64,232,621.54361,0,0,1,0,0,0,-0.701093085
61,232,622.04111,0,0,0,0,0,1,-0.560634897
55,229,623.02667,0,0,0,0,0,1,-0.778135449
50,225,624.51388,0,0,0,0,0,1,-1.070450949
47,225,625.00917,0,0,0,0,0,1,-0.983974826
46,223,631.03028,0,0,0,0,1,0,-0.796347844
45,224,637.52028,0,0,0,0,1,0,-0.898022801
45,226,640.02278,0,0,0,0,1,0,-1.027999034
45,231,643.01861,0,0,0,0,1,0,-0.73319407
51,227,644.52917,0,0,0,0,0,1,-1.05774158
53,229,645.01111,0,0,0,0,0,1,-0.832641611
52,232,645.54806,0,0,0,0,0,1,-0.593391004
61,226,648.02444,0,0,0,0,0,1,-0.985416095
65,227,649.04278,0,0,0,0,0,0,-0.884527285
62,226,649.50972,0,0,0,0,0,0,-0.963272966
62,225,650.52,0,0,0,0,0,0,-1.081194952
62,225,656.03389,0,0,0,0,0,0,-1.091807931
63,225,659.52028,0,0,0,0,0,0,-1.076609097
62,225,662.51139,0,0,0,0,0,0,-1.116440524
62,224,663.03972,0,0,0,0,0,0,-1.058003628
64,224,663.50333,0,0,0,0,0,0,-1.078967537
62,223,664.04,0,0,0,0,0,1,-0.95213589
63,218,664.51333,0,0,0,0,1,0,-0.671743613
64,217,665.00583,0,0,0,0,1,0,-0.639642628
65,218,667.02611,0,0,0,0,1,0,-0.734111241
68,220,667.50389,0,0,0,0,1,0,-1.046604503
68,221,668.01833,0,0,0,0,0,0,-1.103993203
70,220,668.525,0,0,0,0,0,0,-1.070057876
71,222,669.04556,0,0,0,0,0,0,-0.944667498
72,222,669.54944,0,0,0,0,0,0,-0.931040957
76,218,670.04944,0,0,0,1,0,0,-0.89828485
88,221,670.54611,0,0,0,0,0,0,-0.989215803
89,221,671.53583,0,0,0,0,0,0,-0.948074133
91,219,672.01611,0,0,0,0,0,0,-1.118012817
92,218,672.51305,0,0,0,0,0,0,-0.935233739
95,213,673.0225,0,0,0,0,0,0,-0.859763668
99,210,673.51222,0,0,0,0,0,0,-0.999697758
102,209,674.01444,0,0,0,0,0,0,-0.917414416
108,208,674.51083,0,0,0,0,0,0,-0.856619082
110,209,675.01667,0,0,1,0,0,0,-0.775252911
117,215,677.05,0,0,0,0,0,1,-0.305792383
117,215,683.02528,0,0,0,0,0,1,-0.321908388
117,215,684.04972,0,0,0,0,0,1,-0.290200476
117,215,685.02333,0,0,0,0,0,1,-0.332783416
117,216,686.01667,0,0,0,0,0,1,-0.261506127
114,209,687.03833,0,0,0,0,0,1,-0.844302785
111,209,688.01667,0,0,0,0,0,0,-0.832248538
112,210,688.53611,0,0,0,0,0,0,-0.749441099
113,208,689.5125,0,0,0,0,0,0,-0.886099578
113,210,690.01306,0,0,0,0,0,0,-0.775383936
114,206,690.54556,0,0,0,0,0,1,-1.059313873
114,209,691.03806,0,0,0,0,0,1,-0.839454881
114,210,692.015,0,0,0,0,0,1,-0.729394361
113,210,694.54056,0,0,0,0,0,0,-0.769749885
114,207,695.01222,0,0,0,0,0,1,-1.012014054
118,207,696.55,0,0,0,0,0,1,-0.909946024
136,198,697.50528,0,0,0,1,0,0,-0.289807403
136,196,698.52667,0,0,0,1,0,0,-0.410742951
136,196,699.01056,0,0,0,1,0,0,-0.396592312
137,197,701.02944,0,0,0,1,0,0,-0.320205071
136,196,705.05,0,0,0,1,0,0,-0.40392968
136,195,711.01,0,0,0,1,0,0,-0.42345232
134,195,711.51306,0,0,0,1,0,0,-0.63348448
131,195,712.03472,0,0,0,1,0,0,-0.738172998
130,194,712.52639,0,0,0,0,0,1,-0.889637238
130,194,713.51333,0,0,0,0,0,1,-0.879024259
129,196,716.52833,0,0,0,0,0,1,-0.841551272
128,197,719.52833,0,0,0,0,0,1,-0.833034684
128,196,720.01388,0,0,0,0,0,1,-0.891602604
127,198,722.52361,0,0,0,0,0,1,-0.849543762
128,197,727.01861,0,0,0,0,0,1,-0.782459255
128,198,730.52361,0,0,0,0,0,1,-0.775383936
128,198,731.045,0,0,0,0,0,1,-0.756254369
128,197,731.55028,0,0,0,0,0,1,-0.793203258
129,196,732.52389,0,0,0,0,0,1,-0.85006786
128,197,733.01611,0,0,0,0,0,1,-0.831593416
126,199,736.01361,0,0,0,0,0,1,-0.836572344
126,197,736.52167,0,0,0,0,0,1,-0.948991304
126,198,739.03694,0,0,0,0,0,1,-0.930778908
124,199,739.54917,0,0,0,0,0,1,-0.951480768
124,203,742.54306,0,0,0,0,0,1,-0.683011714
124,203,743.01778,0,0,0,0,0,1,-0.651958924
129,197,744.01138,0,0,0,0,0,1,-0.786783061
129,198,750.51333,0,0,0,0,0,1,-0.759792029
128,198,751.03972,0,0,0,0,0,1,-0.771715252
128,197,760.53028,0,0,0,0,0,1,-0.794644527
125,206,768.04611,0,0,0,0,0,1,-0.500494684
128,196,772.51861,0,0,0,0,0,1,-0.864742596
128,195,785.02944,0,0,0,0,0,1,-0.978864873
130,194,787.03722,0,0,0,1,0,0,-0.921345149
130,194,787.51139,0,0,0,1,0,0,-0.846137127
132,194,788.01278,0,0,0,1,0,0,-0.751275441
130,194,791.52306,0,0,0,1,0,0,-0.87076972
130,193,792.02277,0,0,0,0,0,1,-0.979257947
130,194,792.53666,0,0,0,1,0,0,-0.919641832
129,195,793.03306,0,0,0,0,0,1,-0.885313431
135,194,807.045,0,0,0,1,0,0,-0.625491989
133,191,809.52389,0,0,0,1,0,0,-0.868673329
134,195,810.53639,0,0,0,1,0,0,-0.638725457
129,196,811.54194,0,0,0,0,0,1,-0.811546678
129,198,814.05,0,0,0,0,0,1,-0.749310074
132,206,815.01361,0,0,1,0,0,0,0.011548783
